"C","S","n","alpha"
0,0.,805,53
0,-0.00007298676518493983,805,53
0,0.,805,53
0,0.00007709095179875707,805,53
0,0.,805,53
0,-0.0000814035076978924,805,53
0,0.,805,53
0,0.00008593366359742615,805,53
0,0.,805,53
0,-0.00009069098323586351,805,53
0,0.,805,53
0,0.00009568537137807548,805,53
0,0.,805,53
0,-0.00010092708180372779,805,53
0,0.,805,53
0,0.00010642672526830237,805,53
0,0.,805,53
0,-0.00011219527742322398,805,53
0,0.,805,53
0,0.00011824408668101188,805,53
0,0.,805,53
0,-0.00012458488201078376,805,53
0,0.,805,53
0,0.00013122978064885013,805,53
0,0.,805,53
0,-0.00013819129570855066,805,53
0,0.,805,53
0,0.00014548234367290367,805,53
0,0.,805,53
0,-0.0001531162517530663,805,53
0,0.,805,53
0,0.00016110676509503813,805,53
0,0.,805,53
0,-0.0001694680538164868,805,53
0,0.,805,53
0,0.00017821471985503298,805,53
0,0.,805,53
0,-0.00018736180360880383,805,53
0,0.,805,53
0,0.00019692479034955426,805,53
0,0.,805,53
0,-0.00020691961638816129,805,53
0,0.,805,53
0,0.0002173626749718259,805,53
0,0.,805,53
0,-0.00022827082189186596,805,53
0,0.,805,53
0,0.00023966138078055824,805,53
0,0.,805,53
0,-0.0002515521480750904,805,53
0,0.,805,53
0,0.0002639613976263121,805,53
0,0.,805,53
0,-0.0002769078849296374,805,53
0,0.,805,53
0,0.0002904108509551439,805,53
0,0.,805,53
0,-0.00030449002555364474,805,53
0,0.,805,53
0,0.0003191656304152766,805,53
0,0.,805,53
0,-0.000334458381556956,805,53
0,0.,805,53
0,0.0003503894913149015,805,53
0,0.,805,53
0,-0.0003669806698183197,805,53
0,0.,805,53
0,0.0003842541259202851,805,53
0,0.,805,53
0,-0.00040223256756183914,805,53
0,0.,805,53
0,0.00042093920154536753,805,53
0,0.,805,53
0,-0.000440397732693409,805,53
0,0.,805,53
0,0.00046063236236919324,805,53
0,0.,805,53
0,-0.0004816677863354064,805,53
0,0.,805,53
0,0.000503529191927946,805,53
0,0.,805,53
0,-0.0005262422545217413,805,53
0,0.,805,53
0,0.0005498331332660999,805,53
0,0.,805,53
0,-0.0005743284660674857,805,53
0,0.,805,53
0,0.0005997553637981365,805,53
0,0.,805,53
0,-0.0006261414037095071,805,53
0,0.,805,53
0,0.0006535146220301641,805,53
0,0.,805,53
0,-0.0006819035057284617,805,53
0,0.,805,53
0,0.000711336983421109,805,53
0,0.,805,53
0,-0.000741844415409582,805,53
0,0.,805,53
0,0.0007734555828272474,805,53
0,0.,805,53
0,-0.0008062006758810543,805,53
0,0.,805,53
0,0.0008401102811727008,805,53
0,0.,805,53
0,-0.000875215368085312,805,53
0,0.,805,53
0,0.0009115472742228568,805,53
0,0.,805,53
0,-0.0009491376898908051,805,53
0,0.,805,53
0,0.0009880186416078498,805,53
0,0.,805,53
0,-0.0010282224746399307,805,53
0,0.,805,53
0,0.0010697818345492649,805,53
0,0.,805,53
0,-0.0011127296477526224,805,53
0,0.,805,53
0,0.0011570991010846886,805,53
0,0.,805,53
0,-0.0012029236203640202,805,53
0,0.,805,53
0,0.0012502368479608281,805,53
0,0.,805,53
0,-0.001299072619367595,805,53
0,0.,805,53
0,0.0013494649387753934,805,53
0,0.,805,53
0,-0.001401447953660647,805,53
0,0.,805,53
0,0.0014550559283890367,805,53
0,0.,805,53
0,-0.0015103232168452415,805,53
0,0.,805,53
0,0.0015672842340992436,805,53
0,0.,805,53
0,-0.0016259734271220087,805,53
0,0.,805,53
0,0.0016864252445654695,805,53
0,0.,805,53
0,-0.0017486741056238937,805,53
0,0.,805,53
0,0.0018127543679958957,805,53
0,0.,805,53
0,-0.0018787002949685605,805,53
0,0.,805,53
0,0.0019465460216473763,805,53
0,0.,805,53
0,-0.002016325520357906,805,53
0,0.,805,53
0,0.0020880725652473965,805,53
0,0.,805,53
0,-0.0021618206961167693,805,53
0,0.,805,53
0,0.002237603181515701,805,53
0,0.,805,53
0,-0.0023154529811357637,805,53
0,0.,805,53
0,0.002395402707538827,805,53
0,0.,805,53
0,-0.0024774845872601588,805,53
0,0.,805,53
0,0.002561730421327864,805,53
0,0.,805,53
0,-0.0026481715452424913,805,53
0,0.,805,53
0,0.002736838788462751,805,53
0,0.,805,53
0,-0.00282776243344543,805,53
0,0.,805,53
0,0.0029209721742896122,805,53
0,0.,805,53
0,-0.003016497075037345,805,53
0,0.,805,53
0,0.0031143655276848203,805,53
0,0.,805,53
0,-0.0032146052099600217,805,53
0,0.,805,53
0,0.0033172430429246236,805,53
0,0.,805,53
0,-0.003422305148459625,805,53
0,0.,805,53
0,0.0035298168066958784,805,53
0,0.,805,53
0,-0.0036398024134522322,805,53
0,0.,805,53
0,0.0037522854377454594,805,53
0,0.,805,53
0,-0.003867288379437528,805,53
0,0.,805,53
0,0.003984832727087012,805,53
0,0.,805,53
0,-0.0041049389160726125,805,53
0,0.,805,53
0,0.0042276262870577525,805,53
0,0.,805,53
0,-0.004352913044866169,805,53
0,0.,805,53
0,0.004480816217839155,805,53
0,0.,805,53
0,-0.004611351617745788,805,53
0,0.,805,53
0,0.004744533800317997,805,53
0,0.,805,53
0,-0.0048803760264826525,805,53
0,0.,805,53
0,0.005018890224363159,805,53
0,0.,805,53
0,-0.005160086952123052,805,53
0,0.,805,53
0,0.005303975361724059,805,53
0,0.,805,53
0,-0.005450563163670875,805,53
0,0.,805,53
0,0.005599856592814488,805,53
0,0.,805,53
0,-0.00575186037528539,805,53
0,0.,805,53
0,0.005906577696627284,805,53
0,0.,805,53
0,-0.006064010171201067,805,53
0,0.,805,53
0,0.006224157812927818,805,53
0,0.,805,53
0,-0.006387019007438362,805,53
0,0.,805,53
0,0.006552590485695634,805,53
0,0.,805,53
0,-0.00672086729915453,805,53
0,0.,805,53
0,0.006891842796522316,805,53
0,0.,805,53
0,-0.007065508602180768,805,53
0,0.,805,53
0,0.007241854596329304,805,53
0,0.,805,53
0,-0.007420868896906154,805,53
0,0.,805,53
0,0.007602537843342368,805,53
0,0.,805,53
0,-0.007786845982200974,805,53
0,0.,805,53
0,0.007973776054751039,805,53
0,0.,805,53
0,-0.008163308986523617,805,53
0,0.,805,53
0,0.008355423878893695,805,53
0,0.,805,53
0,-0.008550098002729262,805,53
0,0.,805,53
0,0.008747306794145449,805,53
0,0.,805,53
0,-0.008947023852398442,805,53
0,0.,805,53
0,0.009149220939950506,805,53
0,0.,805,53
